 # MagPy ASCII
Time,"File",CountsBa[],CountsCs[],CountsBi1120[],CountsBi1764[],CountsAll[],CountsMCA(Bi1764)[],CountsSCA(Ch291)[],ChannelShift(Max_near_291)[]
2016-10-03 18:00:00,Spectral_409866.Chn,883576.232307,201686.649502,9035.1593786,8909.44165597,26786.5350767,760.198578119,571.06779661,6.56505576208
2016-10-03 19:00:00,Spectral_409867.Chn,881309.558838,202441.513378,8904.8890372,8639.70588005,25988.6481481,738.794156879,562.85,6.46840148699
2016-10-03 20:00:00,Spectral_409868.Chn,882272.535944,202662.970039,8722.6978441,8883.25565457,25868.024948,763.687935084,610.627118644,6.46840148699
2016-10-03 21:00:00,Spectral_409869.Chn,877425.350839,202326.858852,8565.47600028,8856.25113544,26705.8461538,753.49897176,574.245901639,6.59851301115
2016-10-03 22:00:00,Spectral_409870.Chn,885844.914169,202252.994684,8596.61083924,8417.02840199,25928.0,716.300399542,572.070175439,6.30483271375
2016-10-03 23:00:00,Spectral_409871.Chn,881767.551664,202832.860441,8406.69422352,8644.07003664,27432.5860215,739.117980748,582.355932203,6.46840148699
2016-10-04 00:00:00,Spectral_409872.Chn,883095.120295,202363.835794,8367.85167515,8902.87998687,27112.7985075,754.153734744,605.19047619,6.53159851301
2016-10-04 01:00:00,Spectral_409873.Chn,877851.831375,203457.033465,8556.75760364,8620.02379611,26953.5769231,734.953007191,589.95,6.20817843866
2016-10-04 02:00:00,Spectral_409874.Chn,880937.946831,201475.033274,8706.37285571,9019.95299968,27359.3235294,768.231188476,603.45,6.46840148699
2016-10-04 03:00:00,Spectral_409875.Chn,883922.151832,203318.619466,8430.89623996,8788.89367292,27025.6447368,751.47470203,647.137931034,6.3717472119
2016-10-04 04:00:00,Spectral_409876.Chn,889345.908548,203236.983407,8755.78510466,9104.61968504,26799.0,777.714513749,585.368421053,6.40148698885
2016-10-04 05:00:00,Spectral_409877.Chn,888041.75312,202343.786788,8749.69255689,8639.87742528,27645.375,729.027816266,597.644067797,6.63197026022
2016-10-04 06:00:00,Spectral_409878.Chn,884215.042651,202312.539866,8502.42218234,8781.96901426,27497.7432432,740.428266048,593.033333333,6.53531598513
2016-10-04 07:00:00,Spectral_409879.Chn,881929.001009,203677.7444,8665.90365101,8802.81183078,29053.0645161,742.317382514,594.807017544,6.30483271375
2016-10-04 08:00:00,Spectral_409880.Chn,884475.569381,203102.792712,8611.41678225,8831.12662561,26367.1023256,753.929248095,580.35,6.43494423792
2016-10-04 09:00:00,Spectral_409881.Chn,888713.841831,203320.585735,8566.92333059,8559.06606072,27700.2631579,732.60698384,540.206896552,6.46840148699
2016-10-04 10:00:00,Spectral_409882.Chn,886030.431041,202101.990639,8171.73847249,8989.20133939,27428.6875,772.220410764,592.372881356,6.46840148699
2016-10-04 11:00:00,Spectral_409883.Chn,881537.788671,203140.530038,8300.8123282,8642.39778407,24917.6460274,743.00442344,540.322033898,6.43494423792
2016-10-04 12:00:00,Spectral_409884.Chn,881934.345893,202806.119968,8680.18932602,8657.44366145,26208.6420805,738.643467247,584.147540984,6.46840148699
2016-10-04 13:00:00,Spectral_409885.Chn,881143.409583,203095.147575,8740.36621214,8704.59357954,25978.8783784,746.561232477,558.9,6.43494423792
2016-10-04 14:00:00,Spectral_409886.Chn,880901.560404,203180.306718,8815.05089597,8664.21913095,26678.7058824,742.728694856,586.719298246,6.46840148699
2016-10-04 15:00:00,Spectral_409887.Chn,888039.390726,202516.51688,8538.76763929,8743.1721505,27002.5087719,751.069957525,571.912280702,6.3717472119
2016-10-04 16:00:00,Spectral_409888.Chn,886301.610354,202962.722916,8502.75016958,8841.27587941,27411.0,754.866218656,620.3,6.43494423792
2016-10-04 17:00:00,Spectral_409889.Chn,886504.964529,202742.149426,8187.22075677,8880.15553951,26807.8,768.016213447,586.064516129,6.56505576208
2016-10-04 18:00:00,Spectral_409890.Chn,885419.716731,202363.563013,8871.4235186,8788.31172207,26311.4516129,756.496991187,581.633333333,6.33828996283
2016-10-04 19:00:00,Spectral_409891.Chn,882600.384317,203159.419669,8538.26202501,8714.31509724,26023.5622593,748.064999372,605.866666667,6.3717472119
2016-10-04 20:00:00,Spectral_409892.Chn,882974.538859,202006.212194,8628.37862731,8788.22140971,27463.6607143,755.199808717,588.774193548,6.46840148699
2016-10-04 21:00:00,Spectral_409893.Chn,888374.840549,202836.269965,8863.29371685,8698.81642896,26424.5471698,749.12886104,600.442622951,6.14498141264
2016-10-04 22:00:00,Spectral_409894.Chn,887871.467196,203132.019964,8490.60395714,8652.73843104,26076.1626506,742.989195526,619.114754098,6.14498141264
2016-10-04 23:00:00,Spectral_409895.Chn,879996.602956,201767.554691,8528.88705405,8747.04713547,26960.1202532,754.401206076,534.912280702,6.46840148699
2016-10-05 00:00:00,Spectral_409896.Chn,873364.767006,202534.468844,8652.40542877,8891.89736288,27309.6727273,759.811680168,585.62962963,6.2750929368
2016-10-05 01:00:00,Spectral_409897.Chn,875933.190769,202410.240702,8954.47088915,8882.80764719,27504.4032258,758.23140654,593.859649123,6.3717472119
2016-10-05 02:00:00,Spectral_409898.Chn,880873.397443,202780.20236,8183.34493962,8389.48984538,24000.9843804,713.937039107,570.152542373,6.01486988848
2016-10-05 03:00:00,Spectral_409899.Chn,874438.040751,202909.21941,8602.96725358,8968.37911003,28501.7021277,761.47494027,580.698113208,6.3717472119
2016-10-05 04:00:00,Spectral_409900.Chn,877421.853637,202446.184829,8787.01271606,8658.46580289,26370.5384615,745.623419732,549.762711864,6.46840148699
2016-10-05 05:00:00,Spectral_409901.Chn,883394.926745,201517.355061,8159.49260632,8574.47082434,26313.9695122,723.242135018,587.728813559,6.30483271375
2016-10-05 06:00:00,Spectral_409902.Chn,886924.344025,202281.244943,8518.09182517,8695.87327968,25965.766055,741.334642351,600.689655172,6.50185873606
2016-10-05 07:00:00,Spectral_409903.Chn,877107.471861,201326.699564,8529.30050801,8865.71296531,26713.7385965,758.438823998,601.431034483,6.14498141264
2016-10-05 08:00:00,Spectral_409904.Chn,881961.273598,202627.235535,8829.13246927,9082.7457312,27019.5595451,774.34159562,616.578947368,6.14498141264
2016-10-05 09:00:00,Spectral_409905.Chn,877674.289035,202368.183789,8533.65872539,8604.34266847,26961.1917808,736.398381799,564.152542373,6.24163568773
2016-10-05 10:00:00,Spectral_409906.Chn,871050.382165,202121.138257,8772.54094225,8600.50926904,25691.1780273,732.253955096,584.237288136,6.24163568773
2016-10-05 11:00:00,Spectral_409907.Chn,876918.367329,203088.682027,8444.73820191,8719.90361869,26909.5435016,743.278808117,600.728813559,6.11152416357
2016-10-05 12:00:00,Spectral_409908.Chn,873005.309459,202650.928419,8532.80023576,8718.498846,26616.6463415,742.328202158,579.508474576,6.14498141264
2016-10-05 13:00:00,Spectral_409909.Chn,876759.744894,201858.052859,9018.08223792,8815.50105188,26034.5140612,757.483487755,634.862068966,6.24163568773
2016-10-05 14:00:00,Spectral_409910.Chn,878887.401628,202643.037292,8847.99464157,8484.00108291,24794.1325301,729.815063775,547.413793103,6.14498141264
2016-10-05 15:00:00,Spectral_409911.Chn,883930.956605,201018.650853,8703.417526,8679.14161388,26584.5339367,740.902173311,587.052631579,5.95167286245
2016-10-05 16:00:00,Spectral_409912.Chn,873303.365899,202351.731254,8383.80988346,8851.04513087,27797.1851852,755.568594038,606.0,6.24163568773
2016-10-05 17:00:00,Spectral_409913.Chn,877166.208075,202444.552725,8727.85735941,8617.99221125,26055.5794393,738.160376966,601.052631579,6.2750929368
2016-10-05 18:00:00,Spectral_409914.Chn,875874.796073,201343.27787,8375.54927889,8778.73819086,26777.0278087,751.095763534,537.508474576,6.14498141264
2016-10-05 19:00:00,Spectral_409915.Chn,880433.965118,201947.825321,8508.52119133,8660.96782117,26382.0263158,744.13269186,610.881355932,6.2750929368
2016-10-05 20:00:00,Spectral_409916.Chn,878946.139164,201909.521082,8852.56860086,8426.07160722,24677.9862385,719.61477223,648.754385965,6.04832713755
